UserLoation;UserCountry;UserName;text
Washington, DC;US;DamaNestor;'@realDonaldTrump Just making sure you got the message https://t.co/DnUfAUl4SY'
Indiana;US;ssull5810;'@realDonaldTrump https://t.co/q9eLAJLgc2'
San Marcos, CA;US;Dobieblue;\"Let's talk about low IQ's 45 @realDonaldTrump https://t.co/S54pR4A7kU\"
Kansas City;US;StockScout1;\"If I remember right, You @realDonaldTrump as @POTUS are forbidden from @MSNBC because you won't tell the truth and https://t.co/sdrMZRsCYc\"
Russellville, AR;US;weiland_jen;'Agree, but I will never forgive those who voted this narcissistic,psychopathic treasonous #70YearOldManBaby into of https://t.co/F0xVJ6sGaM'
Pennsylvania - All of it.;US;RobynSunshine12;\"@realDonaldTrump sugar isn't good for people.\"
Catan ;US;PirateLindsey;'@realDonaldTrump literally grow up you fucken substandard halfwit no class-havin\\' excuse of a \"person\"'
Manhattan, NY;US;ElmBryan;'@DBloom451 @TrannyRebel they must feel like they dropped into some hellish land,imagine! a republican fighting back https://t.co/2hPFIgsifn'
Athens, GA;US;AdamRRauh;\"@realDonaldTrump 's new Twitter director:  @GregForMontana . What's the worst that could happen?  What's that? He started last night...?\"
Chicago, IL;US;GottaBeZen;\"@realDonaldTrump YES. Let's Make America Safe Again by putting #45 in a straight-jacket. 72 hour involuntary hold i https://t.co/0DvsH4LZ1G\"
Wylie, TX;US;Boyd_2650;'@realDonaldTrump Thank you for all the progress you are making! God bless you!'
Arizona, USA;US;WayneGi88193475;'@sadiegirl_55 @realDonaldTrump @Morning_Joe Whore is going too far, but Kellyanne does lie a lot, and seems to be a hideous human being.'
Houston, TX;US;SusanPoe7;'Absolutely https://t.co/OWGzzxmlwk'
Washington, DC;US;DamaNestor;'@realDonaldTrump #TrumpISFakeNews https://t.co/vxE6o4wmuP'
Texan in Delaware;US;DonnaShelley2;'@congressdotgov ELECTIONS have consequences https://t.co/kVwXhnO224'
Georgia, USA;US;BillyJack1949;'If I do say....Bruce ... you look marvelous !  Plus you sure as Hell fit in with ANTIFI girly boys  https://t.co/QSL5vvn8zT'
Canada | New Zealand;CA;kristenworley;\"@POTUS @realDonaldTrump Reality check and 'not fake news' https://t.co/RlG3U8Zumv\"
Undisclosed Locations;US;MaryFBrooks;\".@realDonaldTrump's Failure to act re: Russian election interference is dereliction of duty. @SenateGOP @SenateDems you must impeach.\"
Somewhere thinking;US;DannerJerome;'Maybe so, brother. But there are better ways. @TrippiNNNN @realDonaldTrump https://t.co/0LLFCuWstU'
North Carolina, USA;US;dawnsky57_1980;'@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe @LindseyGrahamSC  U &amp\; UR bromance with @SenJohnMcCain makes https://t.co/GxnmKqblAV'
Brea, CA;US;DrDeadline;\"Thank you @ananavarro for saying what everyone, on both sides of the aisle, should be shouting in @realDonaldTrump' https://t.co/cgflydap8s\"
Las Vegas;US;RashErika;\"I'm shocked that people who think this live here! America IS the greatest country in the world! Our Constitution &amp\; https://t.co/JF2nwRIAuU\"
Massachusetts, USA;US;TheJman5626;'Very well said https://t.co/jUNRUR1QL0'
Dracut, MA;US;Scondrasht;\"@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe ...attack Meka. Does the man have no soul!? You're attackin https://t.co/nExoGav2Dr\"
United States;US;trytostopJane;'@SarahHuckabee he is correct, we are better than this ! Hate will not win, greed will not win, Good will win, I pro https://t.co/7hhrQw2ENa'
